@relation QueryResult-weka.filters.unsupervised.attribute.Remove-R3

@attribute tag string
@attribute level {0,1,2,3}

@data
'a choice',2
'a lie',2
'ability to control',2
'able to control',2
access,2
accessed,3
accessible,1
'advance directive',2
'advice and support',2
afraid,3
alone,2
amendment,2
'an option',1
anonymity,2
anonymous,2
anonymously,2
'aren#t fair',2
'at home',1
'attitudes and behavior',2
'attitudes and behaviour',2
avoided,3
avoiding,3
'be watched',2
behaving,1
'behavior of individuals',2
'behavior patterns',2
'behaviour of individuals',3
'behaviour patterns',2
'being watched',3
'beliefs and behavior',2
'beliefs and behaviour',2
'beyond everybody#s control',2
'beyond everyone#s control',2
'beyond her control',3
'beyond his control',3
'beyond my control',3
'beyond our control',3
'beyond somebody#s control',2
'beyond someone#s control',2
'beyond their control',3
'beyond your control',3
blacklisted,2
blacklisting,3
blackmail,2
block,3
blocked,2
blocking,3
boundaries,2
boundary,3
breach,2
breached,2
breaches,2
breaching,2
bullied,2
bully,2
bullying,2
'can control',2
'can not control',2
'cannot control',2
'can#t control',2
'care and support',2
'choice between',2
choices,2
choose,2
chose,2
'close friend',2
'close friends',2
'close the door',2
'closely watched',2
closeness,2
coerce,2
collected,2
comment,2
commenting,3
comments,2
community,3
conceal,2
concealed,3
concealment,2
conceals,2
concern,3
concerned,3
concerns,3
confide,2
confided,2
confidence,2
confidential,2
'confidential information',3
confidentiality,2
consent,2
consented,2
consenting,2
'control it',2
'control of',2
'control over',2
controls,3
conversation,1
'could control',1
'could not control',2
'couldn#t control',3
criminal,3
danger,2
dangerous,2
dangers,2
data,1
database,2
deceit,2
deceitful,2
'declaration of rights',3
'degree of control',3
delete,2
deleted,2
deleting,2
'democratic rights',3
details,2
dignified,2
dignity,2
disclose,2
disclosed,2
disclosing,2
disclosure,2
discreet,2
discreetly,2
discretion,3
distress,2
distressed,2
distressing,2
disturb,2
disturbed,2
disturbing,2
'duty of confidentiality',2
embarrass,2
embarrassed,2
embarrassing,2
embarrassment,2
'emotional support',2
emotions,2
'employment rights',2
'encourage and support',2
'encouragement and support',2
endanger,2
endangering,2
ensure,2
'everybody#s choice',3
'everybody#s knowledge',3
'everybody#s option',2
'everyone#s choice',2
'everyone#s knowledge',2
'everyone#s option',2
exclude,2
excluded,3
excluding,2
expose,2
exposed,2
exposes,2
exposing,2
exposure,2
family,1
'family history',2
fear,2
'feel welcome',1
'feelings and behavior',2
'feelings and behaviour',2
'financial information',3
'find support',2
'follow everybody',1
'follow everyone',2
'follow her',2
'follow him',2
'follow me',2
'follow our',2
'follow somebody',2
'follow someone',2
'follow them',2
'follow us',2
'follow you',2
'for everybody#s support',2
'for everyone#s support',2
'for her support',2
'for his support',2
'for my support',2
'for our support',2
'for somebody#s support',2
'for someone#s support',2
'for their support',2
'for your support',2
force,2
forced,2
forcing,2
freedom,2
'freedom of',2
'freedom of choice',2
friend,2
friends,2
friendship,2
'gave everybody support',2
'gave everyone support',2
'gave her support',2
'gave him support',2
'gave his support',2
'gave me support',2
'gave my support',2
'gave our support',3
'gave somebody support',2
'gave someone support',2
'gave support',2
'gave their support',3
'gave them support',2
'gave us support',3
'gave you support',2
'gave your support',2
'gay rights',2
'get everybody#s support',2
'get everyone#s support',2
'get her support',2
'get him support',2
'get his support',2
'get me support',2
'get my support',2
'get our support',2
'get ourselves support',2
'get somebody support',2
'get someone support',2
'get the support',2
'get their support',2
'get them support',2
'get us support',2
'get your support',2
'give everybody support',2
'give everyone support',2
'give her support',2
'give him support',2
'give his support',2
'give me support',2
'give my support',2
'give our support',2
'give somebody support',2
'give someone support',2
'give support',2
