tag,level
just gonna sit on the toilet till someone tells me to go home,0
watching jersey shore makes me shit uncontrollably,1
eagles giants game sucked my big fat dick..#phillysportssuck,1
my fuck it face! http://t.co/7ibtjkvusv,2
racist rich assholes - republican shutdown continues http://t.co/jgztnxtccb,1
my followers suck,2
@bossswagg_xo omg i almost peed myself!!! lmaooooo,1
my parents need to stop talking shit about me #ihearyou,0
work until 430 then it#s showtime.  ,1
check me out on youtube under isaiah grier,2
all i need is one chance 6#0 215 #1 rb in the aifa i play defence aswell buccanon award finalist in college ss-lb,1
#singlebecause my expectations are too high,2
going to the philippines in a month.. can#t wait to see my daughter its just gonna be a long trip for my son.. #jetlagged  #philippines,1
#singlefather,0
@alyssaapaige23 you should tell me for my birthday lol,1
@alyssaapaige23 i#m going to be 30 ,0
from this weekend to finally regaining my faith in men thanks to a cute man in new jersey..i#m a very happy and lucky girl ?,1
applying for jobs in myrtle beach? #byejersey #love,1
@shawn_crenshaw  my name is michael grant. need to talk to you regarding a situation @ friday#s 1758. please contact me mgrantp@gmail.com,1
happy birthday to me!,1
people would always tell me shes just fat and i would cry for days. but now? now i have a boy that loves all my curves,2
im buysexual nd i want u - please stop talking to me haha you#re annoying me now and i#m straight too sozza,1
me & the last girl i was talking to stop talking cause  i was doing to much  cause i said we ain#t talk enough how funny is that,2
stop talking to me about college and my plans... if i don#t wanna go i don#t have to and if i do wanna go i#m going where i can play ball,1
why are my parents always like go to bed. i am in bed. im always in bed. you go to bed. stop talking to me,1
my family is talking about following me to college. no stop please. there is a reason i didn#t apply anywhere in houston,1
my family is talking about following me to college. no stop please. there is a reason i didn#t apply anywhere in houston,1
if you drive drunk fuck you and fuck your whole family,2
dude. the neighbors kid is crying like it#s getting murdered. stfu control your fucking child. if you can#t then you shouldn#t have had one,2
@notkerouac go stick your new pens in your pee-hole,2
@dj_mosfett i?m like ?why don?t you just motorboat them while you?re at it,1
leave the cannoli?s take the dildo,2
holy cow patrick is friggin hotter than sh**!!#revenge,1
@mikencuecsn  #2 reason to commit adult suicide is to be an eagles fan #1 reason is believing andy reid could some how put a team together,2
this is fucking great. turnover tony strikes again,1
haha romo you asshole,1
hey canada fuck you,2
fuck the jets but fuck manning more,1
fucking flyers,1
allow me to quote the great dudley booger dawson :  what the fuck is a frush,2
dear joe buck fuck you. sincerely philadelphia,1
merry christmas motherfuckers. let#s drink,1
okay bro get tf off twitter. idc bout y#all stories no more. if you tryna run beef 971-267-4489 hit my line if not squash it simple,1
augmented my grades are over a 4.0. get off my dick ,2
sam if u dont get the fuck off my twitter im ripping up ur sweater,1
i need to get my ass off twitter cause wattpad is callin my name,2
i was 19 and walking on bourbon st like i owned the place. i even have a picture drunk as fuck with one of the cops,1
currently living off a slice of cheese a mini bagel and a chewy granola bar and i#m at my second dance/cheer practice. help,1
living above a bar means access to onion rings at any hour,1
don#t really know why i thought six cups of coffee were a good idea. i feel like i did cocaine,2
i just want some fucking hot water in my apartment,1
i may or may not have drank too much on a sunday night before i have to go to work. #whoops,2
gonna buy beer a bong chicken & a new watch with my first career check,1
i dropped the blunt somebody fucking my man lmaoo,2
shitty morning... probably shouldn#t have gotten super drunk at 2 pm yesterday then again i just turned 19 so that#s a good enough excuse,1
it#s sunday nite and i have to travel for work tomorrow and i shouldn#t drink. correction shouldn#t have gotten drunk,2
i go to suny u of a and i fucking love it i#m a great dane i go insane and get drunk in public,1
don#t even wanna be at this fucking place fuck work,1
my career slump is officially over! i#m the new head writer in charge of fruit puns for the trader joe#s fearless flyer,2
i need to have a heart to heart with oscar and vent,2
i need to vent. bad. but the trust just isn#t there.. with anyone,1
want to not listen to my concerns and tell me i#m overreacting when i#m on the verge of a breakdown? i#ll just get mad and direct it to you,2
on the verge of a mental breakdown,1
think i#m on the verge of a break down knowing i have to be up at 6 in the morning #toughliving,2
think i#m on the verge of a break down knowing i have to be up at 6 in the morning #toughliving,1
i#m going to be a nervous wreck around march,2
almost lost my dam life nd shit,1
can people just leave me the fuck alone lol #stop,2
